Date,Channel,Campaign,Visitors,Leads,MQLs,SQLs,Customers,Spend (USD),Revenue (USD)
2025-01-09,Organic Search,Blog SEO,366,22,10,5,2,19.07,3126.16
2025-01-09,Organic Search,Product Pages SEO,236,19,6,5,3,11.77,6119.28
2025-01-09,Paid Search,Brand Keywords,108,27,14,11,6,206.24,9815.25
2025-01-09,Paid Search,Competitor Keywords,94,8,4,1,0,320.49,0.0
2025-01-09,Paid Search,Generic Keywords,304,24,13,6,1,832.21,1118.3
2025-01-09,Paid Social,Facebook Prospecting,433,13,4,0,0,280.97,0.0
2025-01-09,Paid Social,Instagram Prospecting,328,5,2,0,0,244.1,0.0
2025-01-09,Paid Social,LinkedIn ABM,93,9,3,1,0,390.22,0.0
2025-01-09,Referral,Customer Referral Program,58,14,12,8,1,17.13,2016.94
2025-01-09,Referral,Partner Program,31,3,1,1,0,15.58,0.0
2025-01-10,Direct,Direct/Brand,201,11,5,3,1,0.0,1760.26
2025-01-10,Email,Drip Nurture,86,11,8,5,1,1.93,1834.98
2025-01-10,Email,Newsletter,165,16,6,3,1,3.34,881.99
2025-01-10,Organic Search,Blog SEO,393,26,5,2,1,19.51,1015.49
2025-01-10,Organic Search,Product Pages SEO,209,10,2,2,0,9.58,0.0
2025-01-10,Paid Search,Brand Keywords,115,15,7,5,2,211.18,3801.14
2025-01-10,Paid Search,Competitor Keywords,61,3,2,1,0,212.75,0.0
2025-01-10,Paid Search,Generic Keywords,270,22,7,4,2,631.66,2930.92
2025-01-10,Paid Social,Facebook Prospecting,417,10,0,0,0,282.89,0.0
2025-01-10,Paid Social,Instagram Prospecting,339,10,3,2,1,231.54,1261.84
2025-01-10,Paid Social,LinkedIn ABM,79,11,9,7,1,318.81,1947.61
2025-01-10,Referral,Customer Referral Program,52,15,10,7,3,13.33,5162.33
2025-01-10,Referral,Partner Program,32,3,3,2,2,16.85,4331.66
2025-01-11,Direct,Direct/Brand,109,4,2,0,0,0.0,0.0
2025-01-11,Email,Drip Nurture,53,11,5,5,2,1.07,3112.84
2025-01-11,Email,Newsletter,99,3,2,0,0,1.91,0.0
2025-01-11,Organic Search,Blog SEO,184,9,3,1,1,9.89,1763.57
2025-01-11,Organic Search,Product Pages SEO,123,12,4,3,2,6.04,3916.37
2025-01-11,Paid Search,Brand Keywords,66,13,7,4,0,120.96,0.0
2025-01-11,Paid Search,Competitor Keywords,49,6,3,0,0,169.18,0.0
2025-01-11,Paid Search,Generic Keywords,143,9,0,0,0,355.73,0.0
2025-01-11,Paid Social,Facebook Prospecting,376,13,1,0,0,239.57,0.0
2025-01-11,Paid Social,Instagram Prospecting,320,11,5,1,0,208.5,0.0
2025-01-11,Paid Social,LinkedIn ABM,68,8,4,3,2,286.0,4285.81
2025-01-11,Referral,Customer Referral Program,16,1,1,0,0,4.51,0.0
2025-01-11,Referral,Partner Program,16,0,0,0,0,8.37,0.0
2025-01-12,Direct,Direct/Brand,144,8,5,3,2,0.0,2798.38
2025-01-12,Email,Drip Nurture,49,12,8,6,3,1.0,4315.09
2025-01-12,Email,Newsletter,83,3,3,2,0,1.69,0.0
2025-01-12,Organic Search,Blog SEO,197,15,5,1,0,10.59,0.0
2025-01-12,Organic Search,Product Pages SEO,115,7,4,4,1,5.36,1570.96
2025-01-12,Paid Search,Brand Keywords,77,12,6,3,1,123.72,1518.45
2025-01-12,Paid Search,Competitor Keywords,49,6,3,2,1,163.94,1567.61
2025-01-12,Paid Search,Generic Keywords,131,1,0,0,0,347.49,0.0
2025-01-12,Paid Social,Facebook Prospecting,378,9,3,2,0,241.84,0.0
2025-01-12,Paid Social,Instagram Prospecting,277,10,2,1,0,192.48,0.0
2025-01-12,Paid Social,LinkedIn ABM,69,8,5,2,0,293.05,0.0
2025-01-12,Referral,Customer Referral Program,27,8,5,5,4,7.8,7319.35
2025-01-12,Referral,Partner Program,24,5,3,1,0,12.2,0.0
2025-01-13,Direct,Direct/Brand,185,9,4,3,1,0.0,1362.17
2025-01-13,Email,Drip Nurture,93,17,9,4,3,1.8,4360.12
2025-01-13,Email,Newsletter,147,7,4,3,0,3.45,0.0
2025-01-13,Organic Search,Blog SEO,400,19,7,5,0,21.98,0.0
2025-01-13,Organic Search,Product Pages SEO,231,16,11,7,2,11.77,2597.48
2025-01-13,Paid Search,Brand Keywords,105,17,10,4,1,204.37,1643.36
2025-01-13,Paid Search,Competitor Keywords,78,8,1,0,0,223.01,0.0
2025-01-13,Paid Search,Generic Keywords,263,20,8,4,1,658.14,801.04
2025-01-13,Paid Social,Facebook Prospecting,434,14,9,3,0,293.25,0.0
2025-01-13,Paid Social,Instagram Prospecting,333,11,4,1,0,230.55,0.0
2025-01-13,Paid Social,LinkedIn ABM,63,8,5,4,0,260.98,0.0
2025-01-13,Referral,Customer Referral Program,54,17,14,10,4,16.69,6691.89
2025-01-13,Referral,Partner Program,42,9,6,4,1,19.97,1912.74
2025-01-14,Direct,Direct/Brand,210,10,4,3,1,0.0,1524.5
2025-01-14,Email,Drip Nurture,95,17,11,6,3,1.88,3596.1
2025-01-14,Email,Newsletter,152,12,6,4,1,3.05,1197.45
2025-01-14,Organic Search,Blog SEO,378,17,12,6,2,18.98,2572.74
2025-01-14,Organic Search,Product Pages SEO,232,13,7,2,0,11.18,0.0
2025-01-14,Paid Search,Brand Keywords,141,25,15,8,3,252.37,4447.83
2025-01-14,Paid Search,Competitor Keywords,82,11,7,5,1,281.18,1438.89
2025-01-14,Paid Search,Generic Keywords,269,10,3,1,0,705.94,0.0
2025-01-14,Paid Social,Facebook Prospecting,446,14,5,2,1,295.12,965.7
2025-01-14,Paid Social,Instagram Prospecting,302,6,0,0,0,215.21,0.0
2025-01-14,Paid Social,LinkedIn ABM,74,3,3,2,0,312.66,0.0
2025-01-14,Referral,Customer Referral Program,39,9,6,6,4,11.7,7135.16
2025-01-14,Referral,Partner Program,33,6,6,5,3,16.58,6683.54
2025-01-15,Direct,Direct/Brand,224,6,3,2,1,0.0,1672.65
2025-01-15,Email,Drip Nurture,74,14,10,9,4,1.48,5548.41
2025-01-15,Email,Newsletter,152,15,9,5,3,3.14,3367.77
2025-01-15,Organic Search,Blog SEO,319,23,11,7,2,15.46,3174.09
2025-01-15,Organic Search,Product Pages SEO,225,21,9,6,1,11.38,1882.47
2025-01-15,Paid Search,Brand Keywords,110,15,8,2,0,203.41,0.0
2025-01-15,Paid Search,Competitor Keywords,74,5,2,1,0,281.55,0.0
2025-01-15,Paid Search,Generic Keywords,262,14,9,3,1,677.34,1777.78
2025-01-15,Paid Social,Facebook Prospecting,433,8,0,0,0,297.47,0.0
2025-01-15,Paid Social,Instagram Prospecting,292,10,4,1,0,179.23,0.0
2025-01-15,Paid Social,LinkedIn ABM,81,7,2,0,0,351.7,0.0
2025-01-15,Referral,Customer Referral Program,65,15,12,11,2,19.29,2404.07
2025-01-15,Referral,Partner Program,43,8,6,2,2,21.33,4434.46
2025-01-16,Direct,Direct/Brand,173,6,2,0,0,0.0,0.0
2025-01-16,Email,Drip Nurture,103,18,11,9,4,2.02,6556.94
2025-01-16,Email,Newsletter,136,11,4,2,1,2.63,1538.23
2025-01-16,Organic Search,Blog SEO,298,10,5,4,2,14.77,3135.72
2025-01-16,Organic Search,Product Pages SEO,208,18,11,6,1,10.51,1266.54
2025-01-16,Paid Search,Brand Keywords,109,12,5,3,1,212.76,1421.07
2025-01-16,Paid Search,Competitor Keywords,87,9,4,2,0,280.65,0.0
2025-01-16,Paid Search,Generic Keywords,255,9,3,1,0,663.75,0.0
2025-01-16,Paid Social,Facebook Prospecting,409,9,3,1,0,272.51,0.0
2025-01-16,Paid Social,Instagram Prospecting,304,7,2,0,0,218.98,0.0
2025-01-16,Paid Social,LinkedIn ABM,79,9,5,1,0,346.75,0.0
2025-01-16,Referral,Customer Referral Program,53,9,7,6,2,17.67,3599.32
2025-01-16,Referral,Partner Program,38,7,7,5,2,18.89,3592.27
2025-01-17,Direct,Direct/Brand,218,10,5,4,1,0.0,1452.82
2025-01-17,Email,Drip Nurture,82,14,9,8,4,1.51,5907.1
2025-01-17,Email,Newsletter,154,8,5,1,1,3.15,1233.98
2025-01-17,Organic Search,Blog SEO,395,24,6,3,2,21.51,2401.85
2025-01-17,Organic Search,Product Pages SEO,246,13,8,1,1,10.77,1123.79
2025-01-17,Paid Search,Brand Keywords,146,28,16,7,1,265.63,1177.28
2025-01-17,Paid Search,Competitor Keywords,77,7,4,3,0,252.95,0.0
2025-01-17,Paid Search,Generic Keywords,270,18,7,5,2,779.18,3171.87
2025-01-17,Paid Social,Facebook Prospecting,434,16,4,0,0,264.2,0.0
2025-01-17,Paid Social,Instagram Prospecting,313,10,8,3,0,233.04,0.0
2025-01-17,Paid Social,LinkedIn ABM,75,5,1,1,0,321.8,0.0
2025-01-17,Referral,Customer Referral Program,59,13,9,6,2,16.87,3886.42
2025-01-17,Referral,Partner Program,42,5,1,1,0,20.71,0.0
2025-01-18,Direct,Direct/Brand,78,7,4,3,1,0.0,1644.53
2025-01-18,Email,Drip Nurture,52,7,3,3,0,1.12,0.0
2025-01-18,Email,Newsletter,90,9,8,4,3,1.81,3863.84
2025-01-18,Organic Search,Blog SEO,190,13,7,6,2,9.52,2525.68
2025-01-18,Organic Search,Product Pages SEO,142,13,4,4,0,6.58,0.0
2025-01-18,Paid Search,Brand Keywords,69,14,9,4,3,132.7,4958.66
2025-01-18,Paid Search,Competitor Keywords,49,7,4,3,0,166.44,0.0
2025-01-18,Paid Search,Generic Keywords,134,5,3,1,0,331.48,0.0
2025-01-18,Paid Social,Facebook Prospecting,355,5,2,2,1,231.84,1049.82
2025-01-18,Paid Social,Instagram Prospecting,269,2,0,0,0,213.16,0.0
2025-01-18,Paid Social,LinkedIn ABM,55,5,3,2,0,226.56,0.0
2025-01-18,Referral,Customer Referral Program,34,8,4,4,2,10.01,2673.2
2025-01-18,Referral,Partner Program,19,4,0,0,0,9.94,0.0
2025-01-19,Direct,Direct/Brand,118,9,3,2,2,0.0,2281.23
2025-01-19,Email,Drip Nurture,48,7,3,2,1,0.95,1397.74
2025-01-19,Email,Newsletter,84,6,2,1,0,1.56,0.0
2025-01-19,Organic Search,Blog SEO,199,13,6,4,2,9.42,2985.0
2025-01-19,Organic Search,Product Pages SEO,139,12,4,1,0,7.31,0.0
2025-01-19,Paid Search,Brand Keywords,58,11,6,4,3,102.52,4884.57
2025-01-19,Paid Search,Competitor Keywords,47,2,1,0,0,146.16,0.0
2025-01-19,Paid Search,Generic Keywords,146,2,0,0,0,417.91,0.0
2025-01-19,Paid Social,Facebook Prospecting,365,12,3,0,0,238.16,0.0
2025-01-19,Paid Social,Instagram Prospecting,269,8,1,1,0,173.89,0.0
2025-01-19,Paid Social,LinkedIn ABM,62,6,5,2,1,283.64,2231.02
2025-01-19,Referral,Customer Referral Program,31,4,2,2,1,10.04,1882.33
2025-01-19,Referral,Partner Program,22,3,2,1,0,10.83,0.0
2025-01-20,Direct,Direct/Brand,232,13,6,5,1,0.0,1406.86
2025-01-20,Email,Drip Nurture,107,12,5,3,2,2.19,3417.08
2025-01-20,Email,Newsletter,172,18,6,4,0,3.35,0.0
2025-01-20,Organic Search,Blog SEO,336,18,7,3,1,17.55,1432.06
2025-01-20,Organic Search,Product Pages SEO,250,19,9,5,1,12.42,1262.65
2025-01-20,Paid Search,Brand Keywords,119,17,7,6,0,215.51,0.0
2025-01-20,Paid Search,Competitor Keywords,84,12,4,3,2,279.38,2652.63
2025-01-20,Paid Search,Generic Keywords,244,18,7,4,1,652.94,1075.38
2025-01-20,Paid Social,Facebook Prospecting,451,14,3,0,0,309.99,0.0
2025-01-20,Paid Social,Instagram Prospecting,312,7,3,1,0,217.99,0.0
2025-01-20,Paid Social,LinkedIn ABM,79,12,8,3,0,321.19,0.0
2025-01-20,Referral,Customer Referral Program,58,17,12,6,3,17.91,6129.51
2025-01-20,Referral,Partner Program,31,5,1,1,0,15.41,0.0
2025-01-21,Direct,Direct/Brand,191,5,1,0,0,0.0,0.0
2025-01-21,Email,Drip Nurture,82,14,11,7,1,1.54,1683.96
2025-01-21,Email,Newsletter,155,19,8,4,1,3.28,1471.23
2025-01-21,Organic Search,Blog SEO,333,17,6,2,0,17.98,0.0
2025-01-21,Organic Search,Product Pages SEO,225,11,5,1,0,11.07,0.0
2025-01-21,Paid Search,Brand Keywords,122,15,9,6,3,249.32,4981.17
2025-01-21,Paid Search,Competitor Keywords,82,4,1,1,0,273.78,0.0
2025-01-21,Paid Search,Generic Keywords,268,12,6,3,1,730.57,1529.77
2025-01-21,Paid Social,Facebook Prospecting,426,15,7,4,0,281.65,0.0
2025-01-21,Paid Social,Instagram Prospecting,328,3,1,1,0,223.59,0.0
2025-01-21,Paid Social,LinkedIn ABM,76,7,1,1,0,327.86,0.0
2025-01-21,Referral,Customer Referral Program,54,10,6,4,3,16.07,6048.35
2025-01-21,Referral,Partner Program,35,9,5,3,1,18.47,2039.42
2025-01-22,Direct,Direct/Brand,204,11,5,4,0,0.0,0.0
2025-01-22,Email,Drip Nurture,84,14,11,6,3,1.77,4520.18
2025-01-22,Email,Newsletter,159,10,3,2,0,3.33,0.0
2025-01-22,Organic Search,Blog SEO,361,17,4,1,0,16.92,0.0
2025-01-22,Organic Search,Product Pages SEO,191,11,4,3,0,9.78,0.0
2025-01-22,Paid Search,Brand Keywords,120,9,4,4,2,213.73,3493.91
2025-01-22,Paid Search,Competitor Keywords,78,4,2,2,1,254.66,1612.23
2025-01-22,Paid Search,Generic Keywords,275,19,7,3,1,732.93,1088.73
2025-01-22,Paid Social,Facebook Prospecting,437,7,3,0,0,282.89,0.0
2025-01-22,Paid Social,Instagram Prospecting,321,8,4,1,0,248.26,0.0
2025-01-22,Paid Social,LinkedIn ABM,70,6,1,1,1,283.74,2935.03
2025-01-22,Referral,Customer Referral Program,55,13,9,5,3,15.65,6486.82
2025-01-22,Referral,Partner Program,26,3,2,1,1,12.51,1921.87
2025-01-23,Direct,Direct/Brand,200,15,5,3,0,0.0,0.0
2025-01-23,Email,Drip Nurture,99,16,13,10,3,2.01,5551.32
2025-01-23,Email,Newsletter,161,12,4,3,1,3.26,1016.21
2025-01-23,Organic Search,Blog SEO,364,13,7,3,1,18.61,881.55
2025-01-23,Organic Search,Product Pages SEO,210,12,7,2,1,10.83,1852.3
2025-01-23,Paid Search,Brand Keywords,137,15,11,6,1,259.14,1777.3
2025-01-23,Paid Search,Competitor Keywords,64,7,2,2,0,226.2,0.0
2025-01-23,Paid Search,Generic Keywords,241,17,8,4,1,528.4,1495.91
2025-01-23,Paid Social,Facebook Prospecting,476,12,3,0,0,323.63,0.0
2025-01-23,Paid Social,Instagram Prospecting,320,10,1,1,0,204.66,0.0
2025-01-23,Paid Social,LinkedIn ABM,74,8,3,2,0,310.13,0.0
2025-01-23,Referral,Customer Referral Program,52,8,4,4,0,15.42,0.0
2025-01-23,Referral,Partner Program,42,11,10,7,3,23.19,5765.23
2025-01-24,Direct,Direct/Brand,201,9,3,3,1,0.0,1276.38
2025-01-24,Email,Drip Nurture,95,15,13,9,5,1.8,8364.59
2025-01-24,Email,Newsletter,162,12,4,4,1,2.95,1533.78
2025-01-24,Organic Search,Blog SEO,320,21,11,8,1,15.47,1365.3
2025-01-24,Organic Search,Product Pages SEO,241,13,7,5,2,13.56,3865.32
2025-01-24,Paid Search,Brand Keywords,109,12,5,1,1,205.27,1405.59
2025-01-24,Paid Search,Competitor Keywords,68,3,2,1,0,245.09,0.0
2025-01-24,Paid Search,Generic Keywords,242,15,9,4,2,621.36,2904.19
2025-01-24,Paid Social,Facebook Prospecting,436,13,3,0,0,276.14,0.0
2025-01-24,Paid Social,Instagram Prospecting,322,7,2,0,0,238.43,0.0
2025-01-24,Paid Social,LinkedIn ABM,70,5,1,1,0,277.91,0.0
2025-01-24,Referral,Customer Referral Program,49,9,5,3,2,15.22,3176.17
2025-01-24,Referral,Partner Program,27,9,5,3,1,14.51,2082.89
2025-01-25,Direct,Direct/Brand,95,4,1,0,0,0.0,0.0
2025-01-25,Email,Drip Nurture,64,14,11,5,2,1.29,3791.86
2025-01-25,Email,Newsletter,69,5,0,0,0,1.17,0.0
2025-01-25,Organic Search,Blog SEO,224,16,8,4,1,11.16,1323.98
2025-01-25,Organic Search,Product Pages SEO,116,14,5,4,2,4.95,3024.85
2025-01-25,Paid Search,Brand Keywords,60,12,5,5,3,107.58,4855.14
2025-01-25,Paid Search,Competitor Keywords,43,4,3,2,1,148.44,1669.87
2025-01-25,Paid Search,Generic Keywords,146,11,5,4,2,360.12,2912.78
2025-01-25,Paid Social,Facebook Prospecting,405,13,4,1,0,264.48,0.0
2025-01-25,Paid Social,Instagram Prospecting,266,7,2,0,0,163.99,0.0
2025-01-25,Paid Social,LinkedIn ABM,66,8,5,1,0,272.06,0.0
2025-01-25,Referral,Customer Referral Program,23,6,4,3,2,5.82,4380.57
2025-01-25,Referral,Partner Program,11,2,1,1,1,4.9,2226.17
2025-01-26,Direct,Direct/Brand,117,4,1,1,1,0.0,1459.22
2025-01-26,Email,Drip Nurture,45,2,1,0,0,0.87,0.0
2025-01-26,Email,Newsletter,84,7,3,3,1,1.73,1452.47
2025-01-26,Organic Search,Blog SEO,198,15,5,4,2,8.95,2797.6
2025-01-26,Organic Search,Product Pages SEO,122,9,5,1,1,5.17,1388.91
2025-01-26,Paid Search,Brand Keywords,56,2,2,1,0,93.35,0.0
2025-01-26,Paid Search,Competitor Keywords,48,2,1,0,0,174.69,0.0
2025-01-26,Paid Search,Generic Keywords,145,9,4,2,2,342.7,2776.21
2025-01-26,Paid Social,Facebook Prospecting,363,15,10,3,0,241.61,0.0
2025-01-26,Paid Social,Instagram Prospecting,282,6,1,0,0,187.62,0.0
2025-01-26,Paid Social,LinkedIn ABM,53,2,1,1,1,213.61,2378.98
2025-01-26,Referral,Customer Referral Program,31,10,8,6,3,9.8,4587.52
2025-01-26,Referral,Partner Program,22,4,1,1,1,11.54,1878.1
2025-01-27,Direct,Direct/Brand,179,7,4,4,0,0.0,0.0
2025-01-27,Email,Drip Nurture,100,16,9,6,1,1.9,1646.02
2025-01-27,Email,Newsletter,153,11,10,7,1,2.8,1260.56
2025-01-27,Organic Search,Blog SEO,369,20,9,5,0,18.96,0.0
2025-01-27,Organic Search,Product Pages SEO,212,23,9,6,1,11.0,1729.98
2025-01-27,Paid Search,Brand Keywords,124,15,7,4,2,220.92,2778.68
2025-01-27,Paid Search,Competitor Keywords,89,6,4,4,0,305.38,0.0
2025-01-27,Paid Search,Generic Keywords,241,10,4,3,0,603.52,0.0
2025-01-27,Paid Social,Facebook Prospecting,443,11,2,1,1,273.57,1069.9
2025-01-27,Paid Social,Instagram Prospecting,358,5,3,2,0,248.35,0.0
2025-01-27,Paid Social,LinkedIn ABM,73,3,2,1,0,344.28,0.0
2025-01-27,Referral,Customer Referral Program,59,13,11,7,3,19.12,5875.73
2025-01-27,Referral,Partner Program,31,10,4,2,1,16.33,2020.43
2025-01-28,Direct,Direct/Brand,197,6,6,3,1,0.0,1398.16
2025-01-28,Email,Drip Nurture,88,16,11,9,3,1.89,5398.88
2025-01-28,Email,Newsletter,160,13,7,4,2,3.37,2450.59
2025-01-28,Organic Search,Blog SEO,373,21,9,7,5,18.94,7851.81
2025-01-28,Organic Search,Product Pages SEO,233,16,6,3,2,12.9,3547.82
2025-01-28,Paid Search,Brand Keywords,126,13,8,6,1,223.2,1542.12
